node_count,enc_time,execute_time,dec_time,ref_time,mse
4,10.201855999184772,84.73597900047025,191.912450000018,64.14111300000513,6.67388446556285e-11
12,10.4083759997593,1013.1025030004821,2216.5225600001577,812.3993410008552,5.029301920879795e-11
12,10.150451998924837,1011.593372999414,2101.518767998641,780.2676039991638,5.0261125461064185e-11
24,10.455449000801309,5533.356821999405,9276.573487999485,4562.332920999324,6.208420753356024e-11
24,10.358300000007148,5468.840732000899,9187.234899000032,4576.5752349998365,6.215266142361106e-11
24,10.488903000805294,5560.2432699997735,9121.389378999083,4799.858361000588,6.22630001334352e-11
32,10.300331001417362,12568.47623000067,16410.621807999632,10900.86225900086,6.842304231066668e-11
32,10.96102999872528,12689.673894999942,16378.10461799927,10846.516735000478,6.777505866082074e-11
32,10.428490000776947,12810.315136999634,16951.36944600017,10618.370838999908,6.810330370686071e-11
