NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
36,0,0.332302999595413,74.36490199870605,30.827107999357395,5.561437999858754,15.80510699932347,3.6590250001609093,1.0518194437006065e-09
36,1,0.26700200032792054,40.30377200069779,31.15371000058076,4.828932998862001,15.73200600068958,3.4741239996947115,2.4187043940759174e-09
36,2,0.2671020010893699,38.40475899960438,31.162911000137683,4.856733001361135,16.16910900156654,3.35302299936302,6.337568607769909e-10
40,0,0.26450199948158115,37.653654000678216,30.44460599994636,4.814432999410201,15.701706000982085,3.312722001282964,5.653590195245045e-10
40,1,0.2686019997781841,38.90526299983321,31.175809999695048,5.108834999191458,15.81730700127082,3.4054230000037933,8.176478742475647e-10
40,2,0.2754020006250357,38.84666199883213,30.79690800041135,4.822933000468765,15.970907999871997,3.368322999449447,1.4661531275811053e-09
44,0,0.265402000877657,42.504687000473496,34.349632000157726,6.105640999521711,15.794606000781641,3.569623999283067,2.4725900965366164e-09
44,1,0.2773020005406579,42.69328900045366,30.595505999372108,4.843933000302059,15.787806998559972,3.4037229997920804,6.935994164914913e-10
44,2,0.2668010001798393,38.98336400015978,30.737807999685174,4.8082319990498945,16.168209000170464,3.3766229989851126,1.2958070847980613e-09
48,0,0.2723019988479791,38.03885699926468,30.877708999469178,4.8767329990369035,15.766705999340047,3.4473239993531024,5.914647442364204e-10
48,1,0.27690199931384996,37.90485600075044,33.17032400082098,4.833733000850771,15.755806000015582,3.390322999621276,6.234362152951569e-10
48,2,0.2678019991435576,40.5558740003471,32.672321000063675,5.01103399983549,15.690606000134721,3.4537230003479635,7.178321331197431e-10
52,0,0.27380200117477216,39.9843699997291,31.178909999653115,4.861032000917476,15.751407001516782,3.3584220000193454,1.7980121620435236e-09
52,1,0.2700019995245384,39.96466999888071,30.798108000453794,4.8053329992399085,15.685106000091764,3.414922999581904,1.919185757480999e-09
52,2,0.2686020015971735,38.87156299970229,30.485306000628043,4.817232000277727,15.727506999610341,3.38202300008561,3.5509352452672872e-09
56,0,0.2665009997144807,38.78556299969205,35.36913899915817,7.7682519986410625,17.912920999151538,3.384722998816869,8.385711378726127e-10
56,1,0.4039029990963172,41.74328200133459,31.019408999782172,4.834833000131766,15.767407001476386,3.3910220008692704,1.7284262343503492e-09
56,2,0.2646020002430305,38.242358999923454,31.20671100077743,4.837231999772484,15.752507000797777,3.421923000132665,8.261434573680715e-10
60,0,0.2700019995245384,42.08098500021151,32.63651999986905,4.850233000979642,15.760106000016094,3.399223000087659,2.419962871929159e-09
60,1,0.26670199986256193,38.48355999980413,30.882408000252326,4.8664330006431555,15.74250699923141,3.3865229997900315,2.5770413008448343e-09
60,2,0.2719019994401606,39.00246299963328,30.94260899888468,4.896734000794822,15.754406000269228,3.441523000219604,6.567387971526044e-10
