NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
36,0,0.2993019988934975,81.79320299859683,31.433330999789177,5.902744000195526,15.808915999514284,3.8898290003999136,1.248348147160244e-09
36,1,0.3856029998132726,42.316412000218406,30.639726001027157,4.960835998645052,15.689816000303836,3.4919250010716496,1.400735700671948e-09
36,2,0.2734019999479642,40.119096000125865,30.70442600073875,5.140137998751015,16.16961900072056,3.418624999540043,7.808139831984687e-10
40,0,0.4087030010850867,37.60667700043996,30.778926999118994,5.134036999152158,16.78372399874206,3.447224999035825,3.0910928930103913e-09
40,1,0.3069020003749756,39.41859000042314,30.931228000554256,5.587240999375354,15.750816999570816,3.4093249996658415,2.216076780136405e-09
40,2,0.3500019993225578,39.584392001415836,31.476231999477022,4.841735000809422,16.347319999113097,3.3956249990296783,2.6261143444463796e-09
44,0,0.2818020002450794,38.09748100138677,31.1634289992071,4.844536000746302,15.820817001440446,3.3862250002130168,6.332316196458499e-09
44,1,0.2714020010898821,40.15389499909361,31.201429999782704,5.332540000381414,15.727714999229647,3.4250259996042587,1.124572642677994e-09
44,2,0.2812019993143622,39.127488000303856,31.07832900059293,4.954436999469181,15.813616000741604,3.398826000193367,8.002299002464881e-09
48,0,0.2716020007937914,38.1311809996987,30.990528999609523,4.821435000849306,15.755415999592515,3.3985250011028256,6.831462282351151e-10
48,1,0.2725020003708778,38.45478400035063,30.812126999080647,4.823135001061019,15.741715998956352,3.352525000082096,1.0484523447779347e-09
48,2,0.28140200083726086,37.78797799895983,30.856426999889663,5.0026369990519015,15.758315999846673,3.39752500076429,2.2571721924599892e-09
52,0,0.2709019991016248,39.71009300039441,30.72612600044522,4.908336000880809,16.010117999030626,3.401024998311186,1.3884184195628318e-09
52,1,0.27630200020212214,39.9739939985011,31.26863099896582,4.950536000251304,16.1641190006776,3.785928000070271,2.0088589045885413e-09
52,2,0.28180199842609,39.23588899851893,30.71852600078273,4.862836000029347,15.795815999808838,3.687726999487495,9.483171321895e-10
56,0,0.27440200028649997,39.071887000318384,32.38653799962776,4.958337000061874,15.767815999424784,3.4327249995840248,6.701495171764429e-10
56,1,0.2737020004133228,37.95097900001565,30.67972600001667,4.875535998507985,16.516421999767772,3.8094279989309143,6.901891492124154e-10
56,2,0.27770199994847644,38.710284999979194,30.40112400049111,4.867736000960576,16.119518999403226,3.453425000770949,9.858955345394192e-10
60,0,0.29910200100857764,39.019187999656424,31.21953000118083,7.290554000064731,19.956846999775735,3.87822799893911,1.0326395039100312e-09
60,1,0.323702000969206,46.00133900021319,30.81412699975772,4.826335998586728,15.715614999862737,3.434625999943819,1.0092763433901955e-09
60,2,0.27690200113283936,38.75268500087259,30.724827000085497,4.937335999784409,16.921725000429433,3.728626999873086,6.224719135780473e-10
