node_count,enc_time,execute_time,dec_time,ref_time,mse
4,10.105824001584551,84.32077299949015,188.91639899993606,68.38732299911499,5.3414658815136456e-11
4,10.324985998522607,85.8986269995512,189.6921959996689,66.76986899947224,5.3951801195766184e-11
12,10.936655000477913,1107.0907749999606,2195.167402000152,874.3748149991006,6.071094034203796e-11
12,10.203251998973428,1025.2220610000222,2116.664897001101,802.746298000784,6.09889728198742e-11
24,10.190750001129345,5540.349820999836,9324.153906998617,4966.202896999675,8.201830572245601e-11
24,10.242084001220064,5814.559881000605,9152.751116000218,4718.183176000821,8.16957863372763e-11
24,10.196338000241667,5532.974510999338,9137.43212999907,5162.9647059999115,8.190034511150168e-11
32,10.683829999834416,12335.64614900024,16264.756971999304,10990.736879999531,6.153943039729375e-11
32,10.235239000394358,12676.089627999318,16748.169946000417,11635.648174999005,6.15101613833457e-11
32,10.041429000921198,12258.951064999565,16238.933717000691,10641.426911999588,6.148435617873836e-11
