node_count,enc_time,execute_time,dec_time,ref_time,mse
4,10.159950999877765,89.76168800109008,201.90156900025613,67.14163400101825,5.4066626135106005e-11
4,10.093042001244612,84.49265199851652,201.071295001384,68.07708800079126,5.371327145957181e-11
12,10.406699999293778,1075.2854060010577,2177.2743459987396,827.7505240002938,6.090865448080215e-11
12,11.273849000644987,1108.1928010007687,2157.3683240003447,810.4544010002428,6.115095619514815e-11
24,10.291112999766483,5834.515978000127,9666.688223000165,4991.222905999166,8.187100255476184e-11
24,10.243410999464686,5473.609353999564,9239.467515000797,4673.197221998635,8.232501373411347e-11
24,10.499308998987544,5505.405574000179,9060.881969000548,4593.2146399991325,8.261680791409056e-11
32,10.434077999889269,12758.457986999929,16678.807289999895,10749.626695998813,6.166774152584054e-11
32,10.407817999293911,12354.773439999917,16435.63120300132,11041.9994699987,6.121059335259663e-11
32,10.994833999575349,12592.561482999372,16345.17599100036,10876.846426999691,6.146238538372425e-11
